baseline_id,accuracy,precision,recall,f1
bl_llm_01_D,0.9188284518828452,0.9196520979525133,0.9188284518828452,0.9188464195585734
bl_llm_01_D,0.9146234309623431,0.9142798396607553,0.9146234309623431,0.9140556166678838
bl_llm_01_D,0.9121338912133891,0.9103405896786475,0.9121338912133891,0.9102727331195002
bl_llm_01_D,0.9096234309623431,0.9066480848515647,0.9096234309623431,0.9068024997548984
bl_llm_01_D,0.9071130167113017,0.9017818687377613,0.9071130167113017,0.9023290310803943
bl_llm_01_C,0.900418410041841,0.8923449457469659,0.900418410041841,0.8932339095662304
bl_llm_01_C,0.897071129707113,0.8866630751681327,0.897071129707113,0.8880999748938964
bl_llm_01_C,0.8954393305439331,0.8871259532161899,0.8954393305439331,0.8879109937758779
bl_llm_01_C,0.892928870292887,0.8816056691870721,0.892928870292887,0.882802173672311
bl_llm_01_B,0.8912133891213389,0.875187654131106,0.8912133891213389,0.8771316191459043
bl_llm_01_C,0.8895397489539749,0.8766597359058002,0.8895397489539749,0.8783879327983134
bl_llm_01_B,0.888744769874477,0.870724893197339,0.888744769874477,0.8726230323501718
bl_llm_01_B,0.8845188284518828,0.8658192516053823,0.8845188284518828,0.8682600703598705
bl_llm_01_B,0.8820083682008368,0.8618770865461169,0.8820083682008368,0.8646767307933969
bl_llm_01_B,0.8769874476987448,0.8540598016135922,0.8769874476987448,0.8574649105673028
bl_llm_01_A,0.8703765690376569,0.862289693291265,0.8703765690376569,0.8649092291241574
bl_llm_01_A,0.8619246861924686,0.8477079098879078,0.8619246861924686,0.8510131003652397
bl_llm_01_A,0.8586192468619247,0.8410169952123151,0.8586192468619247,0.8446835061849173
bl_llm_01_A,0.8536820083682009,0.8346349676556089,0.8536820083682009,0.8386397778011687
bl_llm_01_A,0.8468619246862003,0.8240767694841037,0.8468619246862003,0.8285434015148333
