text,true_label,pred_label,pred_proba
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on  CALL10987654CBA  to find out more!,smishing,smishing,1.0
Dont know you bring some food,ham,ham,0.0
It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),ham,smishing,1.0
"Oh fine, I'll be by tonight",ham,ham,0.0
Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,ham,ham,0.0
Lol ok. I'll snatch her purse too.,ham,ham,0.0
You have an important customer service announcement. Calnumber  CALL10987654CBA  now!,smishing,smishing,1.0
Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,ham,ham,0.0
I'm on the bus. Love you,ham,ham,0.0
ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX,ham,smishing,1.0
Nothing spl..wat abt u and whr ru?,ham,ham,0.0
"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",ham,ham,0.0
Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway,ham,ham,0.0
I was just callin to say hi. Take care bruv!,ham,ham,0.0
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077..zed POBox 36504 W45WQ norm150p/tone 16+,spam,smishing,1.0
No need to ke qi... Ü too bored izzit y suddenly thk of this...,ham,ham,0.0
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,smishing,1.0
Ok�tell me later�,ham,ham,0.0
Smile in Pleasure !!!Smile in Pain!!! Smile when trouble pours like Rain!!! Smile when sum1 Hurts U !!!Smile becoz SOMEONE still Loves to see u Smiling!! KEEP SMILING!!,ham,ham,0.0
"Navratra Special Launching 9th oct. CHD presnts Phase-3 of Avenue71, DOUBLESPACE Shona Road, DOUBLESPACE Gurgaon *@Rs.4150/- Lease Rs.400/- as Inaugural discount Sms ICD to 54999",spam,smishing,1.0
Aah bless! How's your arm?,ham,ham,0.0
Yay can't wait to party together!,ham,ham,0.0
You want to go?,ham,ham,0.0
A link to your picture has been sent. You can also use  LINK10987654CBA ,smishing,smishing,1.0
I wonder if you'll get this text?,ham,ham,0.0
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham,ham,0.0
Minimum walk is 3miles a day.,ham,ham,0.0
Just now saw your message.it k da:),ham,ham,0.0
Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,ham,ham,0.0
HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,ham,ham,0.0
Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,spam,smishing,1.0
K:)k:)what are detail you want to transfer?acc no enough?,ham,ham,0.0
Want to send me a virtual hug?... I need one,ham,ham,0.0
200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call  CALL10987654CBA ,smishing,smishing,1.0
Thanx 4 sending me home...,ham,ham,0.0
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,children were there with her�.",ham,ham,0.0
Me fine..absolutly fine,ham,ham,0.0
You have 1 new message. Please call  CALL10987654CBA ,smishing,smishing,1.0
Saw Guys and Dolls last night with Patrick Swayze it was great,ham,ham,0.0
Yes..gauti and sehwag out of odi series.,ham,ham,0.0
Well. Balls. Time to make calls,ham,ham,0.0
Reverse is cheating. That is not mathematics.,ham,ham,0.0
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No- CALL10987654CBA  immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,smishing,smishing,1.0
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",ham,smishing,1.0
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply  CALL10987654CBA  for details 18+,spam,smishing,1.0
Enjoy ur life. . Good night,ham,ham,0.0
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham,ham,0.0
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham,ham,0.0
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,smishing,1.0
Sorry for the delay. Yes masters,ham,ham,0.0
Which channel:-):-):):-).,ham,ham,0.0
K. Did you call me just now ah?,ham,ham,0.0
Well then you have a great weekend!,ham,ham,0.0
"You have won ?1,000 cash or a ?2,000 prize! To claim, call CALL10987654CBA . T&C: RSTM, SW7 3SS. 150ppm",smishing,smishing,1.0
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham,ham,0.0
Yo you around? A friend of mine's lookin to pick up later tonight,ham,ham,0.0
We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,ham,ham,0.0
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it",ham,ham,0.0
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",ham,ham,0.0
Yes its possible but dint try. Pls dont tell to any one k,ham,ham,0.0
" CALL10987654CBA , Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call  CALL .",smishing,smishing,1.0
You also didnt get na hi hi hi hi hi,ham,ham,0.0
Hai ana tomarrow am coming on morning. DOUBLESPACE &lt;DECIMAL&gt; DOUBLESPACE ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham,ham,0.0
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham,ham,0.0
Thanks love. But am i doing torch or bold.,ham,ham,0.0
Dear we got DOUBLESPACE &lt;#&gt; DOUBLESPACE dollars hi hi,ham,ham,0.0
Stop the story. I've told him i've returned it and he's saying i should not re order it.,ham,ham,0.0
Smith waste da.i wanna gayle.,ham,ham,0.0
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,spam,smishing,1.0
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on  CALL10987654CBA ,smishing,smishing,1.0
Ok c ü then.,ham,ham,0.0
PRIVATE! Your 2004 Account Statement for  CALL10987654CBA  shows 786 unredeemed Bonus Points. To claim call  CALL  Identifier Code: 45239 Expires,smishing,smishing,1.0
S'fine. Anytime. All the best with it.,ham,ham,0.0
No. I meant the calculation is the same. That DOUBLESPACE &lt;#&gt; units at DOUBLESPACE &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,ham,ham,0.0
