text,true_label,pred_label,pred_proba
what do want for xmas how about free text messages new video phone with half price line rental call free now on to find out more,smishing,smishing,1.0
dont know you bring some food,ham,ham,7.267303e-05
its only ard rest all ard at leastwhich is price bedrm,ham,ham,0.00021087521
oh fine ill be by tonight,ham,ham,0.00024095674
just checking in on you really do miss seeing jeremiah do have great month,ham,ham,5.258153e-06
lol ok ill snatch her purse too,ham,ham,0.0023258498
you have an important customer service announcement calnumber now,smishing,smishing,1.0
which is why never wanted to tell you any of this which is why im so short with you and onedge as of late,ham,ham,7.7757206e-05
im on the bus love you,ham,ham,0.0002086152
me babe feel the same lets just get about itboth try cheer upnot fit soo muchxxlove locaxx,ham,ham,5.5218497e-05
nothing splwat abt and whr ru,ham,ham,5.6300603e-05
yeah probably but not sure ilol let know but personally wuldnt bother then again if ur goin to then mite as well,ham,ham,0.00062517327
shall bring us bottle of wine to keep us amused only joking ill bring one anyway,ham,smishing,1.0
was just callin to say hi take care bruv,ham,ham,0.0043420023
free for st week no nokia tone ur mob every week just txt nokia to zed pobox wwq normptone,spam,smishing,1.0
no need to ke qi too bored izzit suddenly thk of this,ham,ham,0.0023064392
was gr to see that message so when leaving congrats dear what school and wat ur plans,ham,ham,0.0003204375
oktell me later,ham,ham,0.00032309408
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts smile becoz someone still loves to see smiling keep smiling,ham,ham,0.0030933924
navratra special launching th oct chd presnts phase of avenue shona road gurgaon rs lease rs as inaugural discount sms icd to,spam,smishing,0.7385503
aah bless hows your arm,ham,ham,0.001479391
yay cant wait to party together,ham,ham,0.0026471661
you want to go,ham,ham,6.201879e-05
link to your picture has been sent you can also use httpaltocoukwavewaveaspo,smishing,ham,0.0019796877
wonder if youll get this text,ham,ham,0.0001611833
partys at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,ham,ham,0.00035863044
minimum walk is miles day,ham,ham,0.00012556576
just now saw your messageit da,ham,ham,0.00010471659
pls give her the food preferably pap very slowly with loads of sugar you can take up to an hour to give it and then some water very very slowly,ham,ham,0.013247033
hiya comin bristol st week in april les got off rudi on new yrs eve but was snoringthey were drunk bak at college yet my work sends ink bath,ham,ham,0.076310456
monthly password for wap mobsicom is use your wap phone not pc,spam,smishing,1.0
kkwhat are detail you want to transferacc no enough,ham,ham,0.01727732
want to send me virtual hug need one,ham,ham,0.00016354842
free minutes to any mobile free text free camcorder reply or call,smishing,smishing,1.0
thanx sending me home,ham,ham,0.00019274285
she said do mind if go into the bedroom for minute ok sed in sexy mood she came out minuts latr wid caken my wifechildren were there with her,ham,ham,0.00039743487
me fineabsolutly fine,ham,ham,5.0754665e-05
you have new message please call,smishing,ham,0.0128894225
saw guys and dolls last night with patrick swayze it was great,ham,ham,2.755957e-05
yesgauti and sehwag out of odi series,ham,ham,0.00054649625
well balls time to make calls,ham,ham,0.0005022879
reverse is cheating that is not mathematics,ham,ham,6.1359104e-05
dear paytm customer your paytm kyc has expired contact customer care no immediately your account will block within hr thank you paytm team,smishing,smishing,1.0
good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni,ham,ham,0.0015766331
ree entry in weekly comp for chance to win an ipod txt pod to to get entry std txt rate tcs apply for details,spam,smishing,1.0
enjoy ur life good night,ham,ham,0.0007755632
mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand,ham,ham,0.04153196
have had two more letters from will copy them for you cos one has message for you speak soon,ham,ham,0.02761806
fancy shag dointerested sextextukcom txt xxuk suzy to txts cost per msg tncs on website,spam,smishing,1.0
sorry for the delay yes masters,ham,ham,0.0011982026
which channel,ham,ham,0.0022030072
did you call me just now ah,ham,ham,0.10465471
well then you have great weekend,ham,ham,0.00018029581
you have won cash or prize to claim call tc rstm sw ss ppm,smishing,smishing,1.0
it just seems like weird timing that the night that all you and want is for me to come smoke is the same day as when shitstorm is attributed to me always coming over and making everyone smoke,ham,ham,0.00020570433
yo you around friend of mines lookin to pick up later tonight,ham,ham,0.014730675
we walked from my moms right on stagwood pass right on winterstone left on victors hill address is ltgt,ham,smishing,1.0
beautiful truth against gravity read carefully our heart feels light when someone is in it but it feels very heavy when someone leaves it,ham,ham,0.00072685594
my friend just got here and says hes upping his order by few grams hes got ltgt when can you get here,ham,ham,0.28662336
yes its possible but dint try pls dont tell to any one,ham,ham,0.0016262911
do you want new nokia colour phone deliveredtomorrow with free minutes to any mobile free texts free camcorder reply or call,smishing,smishing,1.0
you also didnt get na hi hi hi hi hi,ham,ham,0.001161385
hai ana tomarrow am coming on morning ltdecimalgt ill be there in sathy then we ll go to rto office reply me after came to home,ham,ham,0.03844768
the lay man just to let you know you are missed and thought off do have great day and if you can send me bimbo and ugos numbers ill appreciate safe,ham,ham,0.0035816978
thanks love but am doing torch or bold,ham,ham,0.0015406604
dear we got ltgt dollars hi hi,ham,ham,0.00079544366
stop the story ive told him ive returned it and hes saying should not re order it,ham,ham,0.0022771128
smith waste dai wanna gayle,ham,smishing,0.99026954
