text,true_label,pred_label,pred_proba
what do want for xmas how about free text messages new video phone with half price line rental call free now on to find out more,smishing,smishing,0.8588637
dont know you bring some food,ham,ham,0.004041477
its only ard rest all ard at leastwhich is price bedrm,ham,ham,0.0758085
oh fine ill be by tonight,ham,ham,0.002520671
just checking in on you really do miss seeing jeremiah do have great month,ham,ham,0.02831242
lol ok ill snatch her purse too,ham,ham,0.02911356
you have an important customer service announcement calnumber now,smishing,smishing,0.72144514
which is why never wanted to tell you any of this which is why im so short with you and onedge as of late,ham,ham,0.12651381
im on the bus love you,ham,ham,0.0057244143
me babe feel the same lets just get about itboth try cheer upnot fit soo muchxxlove locaxx,ham,smishing,0.9998171
nothing splwat abt and whr ru,ham,ham,0.012326216
yeah probably but not sure ilol let know but personally wuldnt bother then again if ur goin to then mite as well,ham,ham,0.19985934
shall bring us bottle of wine to keep us amused only joking ill bring one anyway,ham,ham,0.3202617
was just callin to say hi take care bruv,ham,ham,0.020240791
free for st week no nokia tone ur mob every week just txt nokia to zed pobox wwq normptone,spam,smishing,0.8221103
no need to ke qi too bored izzit suddenly thk of this,ham,ham,0.3329343
was gr to see that message so when leaving congrats dear what school and wat ur plans,ham,ham,0.06801069
oktell me later,ham,ham,0.006770017
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts smile becoz someone still loves to see smiling keep smiling,ham,smishing,0.786422
navratra special launching th oct chd presnts phase of avenue shona road gurgaon rs lease rs as inaugural discount sms icd to,spam,smishing,0.99327326
aah bless hows your arm,ham,ham,0.010726982
yay cant wait to party together,ham,ham,0.005252131
you want to go,ham,ham,0.003245769
link to your picture has been sent you can also use httpaltocoukwavewaveaspo,smishing,ham,0.025358506
wonder if youll get this text,ham,ham,0.008226257
partys at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,ham,ham,0.17013326
minimum walk is miles day,ham,ham,0.0072462256
just now saw your messageit da,ham,ham,0.019692171
pls give her the food preferably pap very slowly with loads of sugar you can take up to an hour to give it and then some water very very slowly,ham,smishing,0.64085066
hiya comin bristol st week in april les got off rudi on new yrs eve but was snoringthey were drunk bak at college yet my work sends ink bath,ham,smishing,0.5427582
monthly password for wap mobsicom is use your wap phone not pc,spam,ham,0.13097307
kkwhat are detail you want to transferacc no enough,ham,ham,0.035612077
want to send me virtual hug need one,ham,ham,0.03325535
free minutes to any mobile free text free camcorder reply or call,smishing,ham,0.40841013
thanx sending me home,ham,ham,0.005439631
she said do mind if go into the bedroom for minute ok sed in sexy mood she came out minuts latr wid caken my wifechildren were there with her,ham,smishing,0.5400724
me fineabsolutly fine,ham,ham,0.008459718
you have new message please call,smishing,ham,0.0074598594
saw guys and dolls last night with patrick swayze it was great,ham,ham,0.04894032
yesgauti and sehwag out of odi series,ham,ham,0.009201229
well balls time to make calls,ham,ham,0.0074963775
reverse is cheating that is not mathematics,ham,ham,0.0056847963
