text,true_label,pred_label,pred_proba
what do want for xmas how about free text messages new video phone with half price line rental call free now on to find out more,smishing,smishing,1.0
dont know you bring some food,ham,ham,8.0394335e-07
its only ard rest all ard at leastwhich is price bedrm,ham,ham,0.0007366714
oh fine ill be by tonight,ham,ham,9.2210007e-07
just checking in on you really do miss seeing jeremiah do have great month,ham,ham,0.00012856846
lol ok ill snatch her purse too,ham,ham,7.1950326e-06
you have an important customer service announcement calnumber now,smishing,smishing,1.0
which is why never wanted to tell you any of this which is why im so short with you and onedge as of late,ham,ham,0.004987404
im on the bus love you,ham,ham,5.45205e-06
me babe feel the same lets just get about itboth try cheer upnot fit soo muchxxlove locaxx,ham,ham,0.325483
nothing splwat abt and whr ru,ham,ham,0.00014486557
yeah probably but not sure ilol let know but personally wuldnt bother then again if ur goin to then mite as well,ham,ham,0.331495
shall bring us bottle of wine to keep us amused only joking ill bring one anyway,ham,smishing,0.7884631
was just callin to say hi take care bruv,ham,smishing,0.98232806
free for st week no nokia tone ur mob every week just txt nokia to zed pobox wwq normptone,spam,smishing,1.0
no need to ke qi too bored izzit suddenly thk of this,ham,ham,0.002035307
was gr to see that message so when leaving congrats dear what school and wat ur plans,ham,ham,0.004238909
oktell me later,ham,ham,2.2623139e-07
smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts smile becoz someone still loves to see smiling keep smiling,ham,smishing,1.0
navratra special launching th oct chd presnts phase of avenue shona road gurgaon rs lease rs as inaugural discount sms icd to,spam,smishing,1.0
aah bless hows your arm,ham,ham,2.4963256e-06
yay cant wait to party together,ham,ham,0.00017204892
you want to go,ham,ham,1.8712613e-07
link to your picture has been sent you can also use httpaltocoukwavewaveaspo,smishing,ham,0.23166835
wonder if youll get this text,ham,ham,1.5977488e-06
partys at my place at usf no charge but if you can contribute in any way it is greatly appreciated and yeah we got room for one more,ham,ham,0.0048040403
minimum walk is miles day,ham,ham,3.895032e-07
just now saw your messageit da,ham,smishing,0.99991775
pls give her the food preferably pap very slowly with loads of sugar you can take up to an hour to give it and then some water very very slowly,ham,ham,0.020994091
hiya comin bristol st week in april les got off rudi on new yrs eve but was snoringthey were drunk bak at college yet my work sends ink bath,ham,smishing,1.0
monthly password for wap mobsicom is use your wap phone not pc,spam,smishing,1.0
kkwhat are detail you want to transferacc no enough,ham,ham,0.039152738
want to send me virtual hug need one,ham,ham,0.00012712677
free minutes to any mobile free text free camcorder reply or call,smishing,smishing,1.0
thanx sending me home,ham,ham,7.218415e-07
she said do mind if go into the bedroom for minute ok sed in sexy mood she came out minuts latr wid caken my wifechildren were there with her,ham,ham,0.00095080334
me fineabsolutly fine,ham,ham,4.3473196e-07
you have new message please call,smishing,ham,0.025691789
saw guys and dolls last night with patrick swayze it was great,ham,ham,0.006600456
yesgauti and sehwag out of odi series,ham,smishing,0.6974568
well balls time to make calls,ham,ham,8.579841e-07
reverse is cheating that is not mathematics,ham,ham,3.1194352e-06
dear paytm customer your paytm kyc has expired contact customer care no immediately your account will block within hr thank you paytm team,smishing,smishing,1.0
good friends care for each other close friends understand each other and true friends stay forever beyond words beyond time gud ni,ham,smishing,1.0
ree entry in weekly comp for chance to win an ipod txt pod to to get entry std txt rate tcs apply for details,spam,smishing,1.0
enjoy ur life good night,ham,ham,4.2646502e-07
mind blastin no more tsunamis will occur from now on rajnikant stopped swimming in indian oceand,ham,smishing,1.0
have had two more letters from will copy them for you cos one has message for you speak soon,ham,smishing,1.0
fancy shag dointerested sextextukcom txt xxuk suzy to txts cost per msg tncs on website,spam,smishing,1.0
sorry for the delay yes masters,ham,ham,7.37843e-05
which channel,ham,ham,8.922704e-06
